Neighborhood,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Worked at Home,Population Density per Acre
Bayview Hunters Point,37917,222,0.5199251,11925,0.687798742,0.312201258,0.233039832,0.355974843,0.442012579,3.161006289,3.921726408,0.390669093,0.262468022,0.119207743,0.00147691,0.020966849,0.205211383,0.234433104,0.057889601,0.164517235,0.233694649,0.33641902,0.207479495,0.472798841,0.261131123,0.182331316,0.08373872,0.412928238,0.433598343,0.193830133,0.354039527,0.015760596,0.002771401,0.139801803,0.033368792,0.104249482,0.00134371,0,12701,1963.663426,0.520419287,0.479580713,0.061097551,0.094072165,0.082474227,0.070876289,0.114690722,0.637886598,2002.678571,2010.578001,0.948245029,0.005765381,0.617352964,0.151090465,0.069285883,0.025194867,0.135422408,0.031617932,0.030155106,0.124084718,0.352334462,0.454216203,0.039209511,1105.291971,1034.563037,31.34265905,756698.6855,17915,0.681216857,0.318783143,0.472479363,0.182389937,0.06944892,0.304948418,64265.10989,69893.21608,29496.02817,0.177947916,0.070842095,0.533343346,0.537498748,18536,0.304434614,0.27093224,0.206678895,0.080060423,0.137893828,18091,0.593775911,0.472997623,0.120778288,0.299707037,0.014371787,0.030457133,0.030070201,37917
Bernal Heights,25167,201,0.483251877,9196,0.597651153,0.402348847,0.223357982,0.307198782,0.314049587,2.714876033,3.382823872,0.177653276,0.041403425,0.569436166,0.008662137,0.000596019,0.202248977,0.262764732,0.067032225,0.118210355,0.21496404,0.427186395,0.172606985,0.214219996,0.195103251,0.311592721,0.279084032,0.281638654,0.626618399,0.209028961,0.110306644,0.050042589,0.004003407,0.060945486,0.04241908,0.016013629,0.001575809,0,9877,1939,0.577207482,0.422792518,0.068948061,0.13215859,0.041116006,0.380323054,0.185022026,0.261380323,2002.525473,2011.82284,0.884082976,0.009067929,0.576794573,0.33319834,0.037157031,0.012554419,0.038675711,0.036884693,0.048192771,0.167257264,0.374000202,0.391616888,0.018932874,1888.540031,1828.099174,22.82852941,1233076.5,13041,0.653477494,0.346522506,0.518178567,0.132666377,0.065938206,0.223765432,139519.0024,148608.5343,69075.65463,0.058776585,0.031000829,0.457357913,0.573642916,15191,0.604568495,0.153709433,0.143703509,0.059574748,0.038443815,14830,0.477275792,0.384086312,0.093189481,0.271274444,0.068577208,0.047066757,0.098921106,25167
Castro/Upper Market,22502,72,0.382499333,11330,0.351897617,0.648102383,0.383230362,0.115798764,0.252427184,1.979699912,2.65512917,0.145320416,0.033774776,0.731846058,0.001644298,0.002977513,0.084436939,0.080303973,0.037152253,0.057372678,0.30846147,0.429784019,0.16722958,0.069754407,0.14592887,0.412361154,0.371955569,0.189538708,0.805363242,0.046893751,0.063232715,0.067155912,0.01735438,0.005400166,0.000923105,0.002353919,0.002123142,0,12443,1939,0.390909091,0.609090909,0.089447882,0.155435759,0.007187781,0.3737646,0.330637916,0.132973944,2005.025473,2011.624545,0.839829558,0.026867011,0.202523507,0.424174235,0.163947601,0.077071446,0.129952584,0.040454633,0.090653379,0.335851483,0.322992847,0.232500201,0.01800209,2214.6098,2154.569892,20.89757998,1360942.907,11297,0.538195981,0.461804019,0.502044263,0.295498676,0.111311809,0.413708158,162554.5171,199757.6177,106980.5973,0.056792873,0.034768914,0.360772912,0.673996002,15908,0.743713855,0.068833291,0.156084989,0.010937893,0.020429972,15573,0.274513581,0.239067617,0.035445964,0.480896423,0.04854556,0.069543441,0.086046362,22502
Chinatown,14438,53,0.516207231,6907,0.522947734,0.477052266,0.41190097,0.159693065,0.58143912,2.082669755,2.830841639,0.834395346,0.001315972,0.1210694,0.008103615,0.002424158,0.032691509,0.030475135,0.035600499,0.074387034,0.21062474,0.298240754,0.381146973,0.671868583,0.121971253,0.138726899,0.067433265,0.731403241,0.207914392,0.017380063,0.7573973,0.016518242,0.000790003,0.588839414,0.005601839,0.579000287,0.003519104,0,7628,1939,0.060952657,0.939047343,0.094520189,0.403606103,0,0.069348128,0.074895978,0.452149792,2004.573864,2009.541234,0.91529674,0.006129841,0.020844258,0.110907184,0.122836917,0.168589407,0.566334557,0.022094431,0.532773991,0.206476141,0.168851599,0.064630309,0.02726796,686.0294118,648.9047619,40.21280148,957706.7669,1906,0.172612802,0.827387198,0.132012744,0.760967135,0.334916865,0.788621647,25255.2356,32775.11962,31981.74262,0.237847222,0.069606513,0.505834464,0.563772049,6857,0.307277235,0.387633076,0.171066064,0.044042584,0.089981041,6608,0.153299031,0.124243341,0.02905569,0.334291768,0.010139225,0.440526634,0.03964891,14438
Excelsior,39879,527,0.498758745,10976,0.776694606,0.223305394,0.143039359,0.335732507,0.507470845,3.585276968,4.109325513,0.49993731,0.022041676,0.236515459,0.004714261,0.000451365,0.236339928,0.319616841,0.042127435,0.1364628,0.210386419,0.367210813,0.243812533,0.446092356,0.269009711,0.212988043,0.07190989,0.511422052,0.317495222,0.254797246,0.400612581,0.023194324,0.003900626,0.136469541,0.037383178,0.096259064,0.001335113,0,11475,1942.524189,0.673196064,0.326803936,0.043485839,0.142284569,0,0.104208417,0.022044088,0.731462926,1997.148584,2009.007867,0.938751829,0.003254124,0.829019608,0.090893246,0.037559913,0.027102397,0.013159041,0.011535306,0.021002179,0.090457516,0.374553377,0.469891068,0.044095861,1718.453189,1526.315789,29.99632911,839615.1117,19525,0.720614597,0.279385403,0.489606058,0.097029883,0.069968873,0.152773906,90211.31137,91814.67828,32327.65114,0.087918813,0.039793796,0.484896446,0.55489735,21234,0.328859376,0.286003579,0.209993407,0.070641424,0.104502213,20719,0.583281046,0.464259858,0.119021188,0.345383464,0.011197452,0.017761475,0.030841257,39879
Financial District,21537,563,0.46561731,11297,0.372753828,0.627246172,0.445693547,0.102151014,0.218642117,1.856599097,2.53360247,0.409620653,0.028648373,0.481496959,0,0.001903701,0.078330315,0.070994103,0.049264057,0.026930399,0.388122765,0.376096949,0.159585829,0.112471557,0.115505472,0.38427782,0.387745151,0.404281005,0.580435632,0.047226021,0.199746044,0.14695253,0.025639773,0.05684704,0.005616331,0.042684118,0.007765189,0.000781403,14459,2001.185885,0.322297955,0.677702045,0.218687323,0.137571157,0.091397849,0.129981025,0.587286528,0.053763441,2011.286563,2014.833689,0.761460981,0.021180457,0.038038592,0.005671208,0.009060101,0.017428591,0.929801508,0.019723159,0.232242894,0.294211218,0.38820112,0.081748392,0.003596376,2836.666667,2485.890653,20.94177158,1335772.834,7890,0.463624842,0.536375158,0.366346288,0.415862618,0.196374622,0.520245559,183786.526,208909.4118,125896.7544,0.09291309,0.041180687,0.474620447,0.56656024,14715,0.75922528,0.08216106,0.122867822,0.003669725,0.032076113,13943,0.200172129,0.18410672,0.016065409,0.223624758,0.023882952,0.440220899,0.092376103,21537
Glen Park,8651,37,0.490925905,3643,0.553115564,0.446884436,0.315673895,0.275048037,0.367554214,2.364534724,3.110173697,0.169113397,0.070974454,0.643971795,0.003005433,0,0.112934921,0.120448503,0.081724656,0.135128887,0.169922552,0.392671367,0.220552537,0.082183087,0.156909408,0.346025702,0.414881802,0.208184025,0.727215509,0.086606244,0.081570997,0.079556898,0.025050352,0.024169184,0.008559919,0.009944612,0.003147029,0.002517623,3773,1952.141393,0.670326654,0.329673346,0.034455341,0.069230769,0,0.084615385,0.069230769,0.776923077,2002.503477,2010.382231,0.888993415,0.007878645,0.643784787,0.234031275,0.028359396,0.012456931,0.081367612,0.022903971,0.026504108,0.162205142,0.351444474,0.445269017,0.014577259,1725.364964,1629.273504,20.0836478,1429545.455,5019,0.704921299,0.295078701,0.580164143,0.118858084,0.067567568,0.223147377,169599.6276,202386.6739,83173.96833,0.068546989,0.039517882,0.480932622,0.55858526,4840,0.777066116,0.081198347,0.104958678,0.015702479,0.02107438,4759,0.465013658,0.428031099,0.036982559,0.349653289,0.029838201,0.019331792,0.113259088,8651
Golden Gate Park,63,0,0.396825397,48,0,1,0.708333333,0,0,1.3125,0,0.079365079,0,0.920634921,0,0,0,0,0,0,0.587301587,0.412698413,0,0,0.063492063,0.777777778,0.158730159,0.079365079,0.920634921,0,0.079365079,0,0,0,0,0,0,0,48,1974,0,1,0,0,0,0,0,0,0,2011.875,0.793650794,0,0,0.3125,0.125,0.104166667,0.458333333,0,0,0.5625,0.4375,0,0,2225,2068.181818,17.95,0,55,-12121212.11,1,0.873015873,0.375,0,0.375,143750,0,107749.2063,0,0,0.355932203,0.644067797,59,0.576271186,0.169491525,0,0.254237288,0,59,0.322033898,0.322033898,0,0.593220339,0,0.084745763,0,63
Haight Ashbury,19275,311,0.478236057,8223,0.429770157,0.570229843,0.313024444,0.161255016,0.218046942,2.306214277,2.946236559,0.108274968,0.045966278,0.769857328,0.000103761,0,0.075797665,0.07538262,0.046588846,0.06692607,0.407574578,0.35304799,0.125862516,0.069533961,0.146628656,0.456742687,0.327094695,0.152010376,0.845839909,0.029765468,0.0408663,0.074549709,0.008978615,0.004516515,0,0.000544158,0.003972357,0,9068,1939,0.323604524,0.676395476,0.093184826,0.150295858,0.031952663,0.26035503,0.288757396,0.268639053,2006.022222,2012.408994,0.809775775,0.013044845,0.172143802,0.413983238,0.20114689,0.147772386,0.057123952,0.068335979,0.087340097,0.298632554,0.252536392,0.330502867,0.03098809,2274.294671,2190.429688,19.35314438,1662719.298,8281,0.457553436,0.542446564,0.429623865,0.302565973,0.110860579,0.394282632,172486.6717,200998.376,93978.88975,0.062857738,0.027988419,0.479318903,0.548669516,14100,0.684255319,0.08787234,0.182907801,0.018156028,0.026808511,13858,0.255015154,0.226439602,0.028575552,0.437364699,0.073675855,0.069634868,0.095973445,19275
Hayes Valley,19711,502,0.433108417,9652,0.301077497,0.698922503,0.432863655,0.104123498,0.201098218,1.99015748,2.700963524,0.155446198,0.068489676,0.652173913,0.002435188,0.001116128,0.120338897,0.134138298,0.045964182,0.03739029,0.420425143,0.366039267,0.130181117,0.136586229,0.149271343,0.454068087,0.260074341,0.19090863,0.772454135,0.075990428,0.07636267,0.054666312,0.020526456,0.035416113,0.010050518,0.020154214,0.004147833,0.001063547,10641,1939,0.2026523,0.7973477,0.092942393,0.248736097,0.063700708,0.323559151,0.056622851,0.307381193,2010.47089,2012.388889,0.832548269,0.011387753,0.087773705,0.27196692,0.180998027,0.154120853,0.303260972,0.049410949,0.186824547,0.326942956,0.304200733,0.168687153,0.01334461,2065.360915,2016.162888,21.46868038,1178571.429,7028,0.282299374,0.717700626,0.356552179,0.416597596,0.190695297,0.474012474,137961.6963,169303.7975,87209.70017,0.085441086,0.023590828,0.426815569,0.596775259,14753,0.675930319,0.110214872,0.169999322,0.009489595,0.034365892,14430,0.237214137,0.194455994,0.042758143,0.409286209,0.095911296,0.127650728,0.080526681,19711
Inner Richmond,22572,147,0.547891193,9385,0.483324454,0.516675546,0.287586574,0.190836441,0.354075653,2.389451252,3.072089947,0.374800638,0.018784335,0.527511962,0.001284778,0,0.077618288,0.081206805,0.040669856,0.093079922,0.337852206,0.311536417,0.216861598,0.165559277,0.165174894,0.415792653,0.253473176,0.298289917,0.624411194,0.048397525,0.270758289,0.051353099,0.005079893,0.065946245,0.0021705,0.061143438,0.000600351,0.000738894,9876,1939,0.356419819,0.643580181,0.049716484,0.061099796,0.105906314,0.260692464,0.17311609,0.399185336,1997.91185,2011.667452,0.869201521,0.008857079,0.232482787,0.472053463,0.146213042,0.124746861,0.024503848,0.022469475,0.060247064,0.225698663,0.362596193,0.314499797,0.036958283,2053.018868,1981.070496,24.46389452,1600689.127,10923,0.405749336,0.594250664,0.483918129,0.218220565,0.161136024,0.249834437,116506.2435,151630.4348,70013.30852,0.085831366,0.042288895,0.561023622,0.481265273,14109,0.602310582,0.138634914,0.179389042,0.02069601,0.058969452,13841,0.429593237,0.365941767,0.06365147,0.357055126,0.058883029,0.062784481,0.069214652,22572
Inner Sunset,29539,894,0.510714648,12233,0.49235674,0.50764326,0.33025423,0.195700155,0.319463746,2.341616938,3.05379379,0.349233217,0.024746945,0.52923254,0.001489556,0.001286435,0.094011307,0.087003622,0.052439148,0.079115745,0.335319408,0.337587596,0.195538102,0.112790746,0.121977701,0.41992734,0.345304213,0.283049528,0.644337263,0.046445159,0.222686674,0.081957842,0.004573062,0.051196856,0.002072169,0.041050375,0.008074312,0,12949,1944.993293,0.430965421,0.569034579,0.055293845,0.034916201,0,0.410614525,0.244413408,0.310055866,1998.91232,2012.73595,0.832423337,0.012911645,0.421268052,0.303266662,0.116225191,0.081936829,0.074059773,0.031185148,0.06904008,0.247046104,0.297860839,0.359873349,0.026179628,2275.31883,2172.754947,21.68968322,1426441.996,16031,0.562160813,0.437839187,0.542706253,0.175181885,0.083270106,0.244792415,136886.921,171051.2273,74919.67568,0.078843079,0.033664313,0.505389476,0.528274837,18199,0.72811693,0.100884664,0.130501676,0.013517226,0.026979504,17829,0.433843738,0.351954681,0.081889057,0.359190084,0.0391497,0.076672836,0.059958495,29539
Japantown,3551,53,0.539566319,2266,0.227272727,0.772727273,0.616504854,0.039717564,0.572815534,1.54368932,2.446601942,0.327513377,0.016333427,0.528865108,0.002252887,0.007603492,0.117431709,0.092649958,0.018586314,0.019149535,0.315122501,0.209236835,0.437904816,0.264930114,0.213786531,0.253494282,0.267789072,0.34272036,0.629268293,0.057962697,0.27804878,0.03472023,0,0.21061693,0.011190818,0.18938307,0.010043042,0,2535,1970.206093,0.133715799,0.866284201,0.106114398,0.390334572,0,0,0.215613383,0.394052045,2005,2013.070962,0.777527457,0.019994368,0.090729783,0.114792899,0.043786982,0.057199211,0.693491124,0.077345309,0.246548323,0.489546351,0.181065089,0.082840237,0,1469.936709,1375,25.7257874,970394.7368,1280,0.19375,0.80625,0.360461842,0.556928508,0.438943894,0.575140092,88064.51613,177533.7838,74273.35962,0.106073567,0.016200295,0.513009327,0.503190967,2004,0.665169661,0.078842315,0.153692615,0.037924152,0.064371257,2004,0.274451098,0.239021956,0.035429142,0.385229541,0.02245509,0.147205589,0.093313373,3551
Lakeshore,14801,2723,0.538950071,4924,0.390739236,0.609260764,0.363728676,0.136677498,0.33509342,2.452883834,3.002079002,0.277481251,0.069319641,0.425173975,0.00608067,0.001824201,0.220120262,0.231065469,0.017701507,0.051212756,0.593338288,0.190933045,0.146814404,0.161367887,0.287069196,0.345845578,0.205717339,0.344638876,0.521493913,0.159777151,0.162872275,0.146777633,0.009079029,0.087144921,0.030125868,0.036247335,0.020771717,0,5281,1956.848606,0.051380991,0.948619009,0.067600833,0.526610644,0,0.18767507,0.075630252,0.210084034,2010.982143,2011.932723,0.597343634,0.029816358,0.135012308,0.090702518,0.05907972,0.085779208,0.628100738,0.022181628,0.106987313,0.329672411,0.411285741,0.152054535,0,1994.857595,1907.874016,34.425,1135638.298,5435,-245323.4458,0.925666973,0.367204919,0.265028432,0,0.27938343,61914.89362,87349.39759,29651.80731,0.277961615,0.133067199,0.59968951,0.533377689,7818,0.380148376,0.239575339,0.283832182,0.014709644,0.081734459,7664,0.453679541,0.35960334,0.0940762,0.355688935,0.002609603,0.138308977,0.027531315,14801
Lincoln Park,312,191,0.227564103,70,0.442857143,0.557142857,0.471428571,0.185714286,0.442857143,1.728571429,2.387096774,0.336538462,0.16025641,0.467948718,0,0,0.03525641,0.03525641,0.044871795,0,0.025641026,0.275641026,0.653846154,0.244966443,0.137583893,0.251677852,0.365771812,0.403846154,0.701342282,0.036912752,0.228187919,0.033557047,0,0.020134228,0,0.020134228,0,0,79,1951.923077,0.628571429,0.371428571,0.113924051,0,0,0,0.555555556,0.444444444,2005,2012.692308,0.814102564,0.019230769,0.46835443,0.392405063,0.050632911,0,0.088607595,0,0,0.215189873,0.556962025,0.227848101,0,2342.105263,2269.230769,21.88333333,857142.8571,100,0.55,0.45,0.320512821,0.1,0.159090909,0,157407.4074,139583.3333,49241.98718,0,0,0.523076923,0.476923077,65,0.815384615,0,0.092307692,0,0.092307692,65,0.8,0.707692308,0.092307692,0.2,0,0,0,312
Lone Mountain/USF,17677,3186,0.544719127,6342,0.423683381,0.576316619,0.327341533,0.154367707,0.309839167,2.284925891,2.871604019,0.228998133,0.052667308,0.582734627,0.001244555,0.000565707,0.13378967,0.117157889,0.039712621,0.05860723,0.480794252,0.262205125,0.158680772,0.137574202,0.114150489,0.465265522,0.283009787,0.204672739,0.72377025,0.05089838,0.143976436,0.077290133,0.004064801,0.050191458,0,0.039116348,0.01107511,0,6900,1939,0.314411857,0.685588143,0.080869565,0,0,0.204301075,0.161290323,0.634408602,2003.365201,2012.224895,0.718306636,0.026086957,0.134347826,0.44115942,0.183333333,0.128550725,0.112608696,0.069384476,0.087681159,0.288985507,0.327391304,0.272898551,0.023043478,2010.822511,1908.575032,21.33124166,1317137.809,6819,0.432468104,0.567531896,0.385755501,0.246452223,0.102808425,0.312327507,133445.9459,153911.0429,58990.80161,0.093192378,0.06968926,0.549609304,0.520079956,10239,0.638831917,0.104893056,0.211739428,0.012501221,0.032034378,9959,0.324128929,0.277437494,0.046691435,0.384677176,0.063761422,0.102821568,0.055226428,17677
Marina,25375,97,0.515152709,13583,0.309578149,0.690421851,0.469852021,0.110211294,0.228373702,1.861002724,2.7117717,0.105852217,0.007763547,0.836453202,0.001970443,0.000985222,0.046975369,0.07129064,0.046147783,0.049497537,0.445241379,0.294975369,0.164137931,0.065526402,0.087104441,0.541408398,0.305960759,0.154009852,0.845397455,0.031399769,0.052759874,0.065113204,0.005329698,0.017930921,0.000950256,0.011320443,0.005660221,0,14786,1939,0.254730177,0.745269823,0.081360747,0.053200333,0.019950125,0.215295096,0.344139651,0.367414796,2003.873239,2012.998468,0.805748465,0.01352816,0.116326255,0.300689842,0.132152036,0.293520898,0.156364128,0.081436994,0.163803598,0.368321385,0.26335723,0.18578385,0.018733938,2480.759298,2451.846966,20.09141566,2000000.143,13627,0.365524327,0.634475673,0.537024631,0.25126997,0.078323699,0.310382298,165038.2226,207439.5688,115462.1399,0.043626152,0.026307482,0.519257077,0.507050405,18474,0.70991664,0.035346974,0.237144094,0.004709321,0.012882971,18149,0.399250647,0.320458427,0.07879222,0.336106673,0.028872114,0.07576175,0.078571822,25375
McLaren Park,507,0,0.585798817,239,0.472803347,0.527196653,0.527196653,0.209205021,0.631799163,2.121338912,3.371681416,0.50887574,0.224852071,0.055226824,0,0.067061144,0.143984221,0.199211045,0.045364892,0.177514793,0.1617357,0.214990138,0.400394477,0.632432432,0.278378378,0.02972973,0.059459459,0.506903353,0.318181818,0.157024793,0.524793388,0,0,0.464876033,0.138429752,0.326446281,0,0,251,1973.409091,0.146443515,0.853556485,0.047808765,0,0,0,0,1,1991.25,2006.495726,0.98816568,0,0.203187251,0.111553785,0.187250996,0.055776892,0.442231076,0,0.019920319,0.498007968,0.314741036,0.167330677,0,280.3571429,247.8571429,28.16585366,708333.3333,125,0.68,0.32,0.246548323,0.686192469,0,0.803921569,14025,37083.33333,16943.3925,0.441814596,0.137931034,0.75862069,0.379310345,125,0.328,0.136,0.312,0.128,0.096,120,0.558333333,0.516666667,0.041666667,0.35,0,0.091666667,0,507
